Date,Country,Affiliate,Regs,Ret_Day1,Ret_Day7,Complete_Tutorial,Spend,Depositors_D0,Deposits_D0,Deposit_Amount_D0,Deposits_D1,Depositors_D1,Deposit_Amount_D1,Deposits_D7,Depositors_D7,Deposit_Amount_D7,Deposits_D10,Depositors_D10,Deposit_Amount_D10,Deposits_D30,Depositors_D30,Deposit_Amount_D30,Zone,Month,Day
2020-01-03,Australia,Affiliate_27,37,13,7,33,728,1,1,8,7,3,30,10,3,41,10,3,41,20,3,68,Asia,1,3
2020-01-03,Australia,Affiliate_31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,1,3
2020-01-03,Australia,Affiliate_34,15,5,4,13,252,1,1,3,1,1,3,1,1,3,2,2,26,4,3,42,Asia,1,3
2020-01-03,Australia,Rest,38,11,5,32,280,1,1,8,4,2,31,6,3,42,7,3,66,12,3,126,Asia,1,3
2020-01-03,Canada,Affiliate_27,76,29,11,60,1812,2,2,10,4,4,27,4,4,45,5,4,48,8,5,58,NA,1,3
2020-01-03,Canada,Affiliate_34,44,13,4,34,586,1,1,3,4,1,17,4,1,17,4,1,17,4,1,17,NA,1,3
2020-01-03,Canada,Rest,21,4,4,21,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,3
2020-01-03,France,Affiliate_26,153,69,24,132,0,0,0,0,4,2,39,7,3,90,7,3,90,12,3,261,Europe,1,3
2020-01-03,France,Affiliate_27,116,41,13,110,1316,3,3,10,4,4,11,7,7,69,7,7,69,9,7,92,Europe,1,3
2020-01-03,France,Affiliate_29,1503,496,206,1259,15798,19,25,172,69,28,663,103,36,1017,113,36,1107,226,47,2399,Europe,1,3
2020-01-03,France,Affiliate_30,28,11,6,24,327,0,0,0,0,0,0,1,1,3,1,1,3,1,1,3,Europe,1,3
2020-01-03,France,Affiliate_31,138,60,22,123,0,4,7,114,16,5,181,18,5,198,18,5,198,19,6,204,Europe,1,3
2020-01-03,France,Affiliate_34,14,6,4,10,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,1,3
2020-01-03,France,Affiliate_35,53,19,11,35,534,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,Europe,1,3
2020-01-03,France,Rest,68,19,9,73,655,1,3,17,7,2,76,10,2,109,14,2,206,21,3,366,Europe,1,3
